,ID,Eto
0,5232,157.72935416481604
1,5233,160.0618257103145
2,5234,162.39429725581297
3,5235,164.72676880131144
4,5236,167.05924034680993
5,5237,169.39171189230842
6,5238,171.72418343780691
7,5239,174.05665498330535
8,5240,176.38912652880384
9,5241,178.72159807430234
10,5242,181.05406961980083
11,5243,183.3865411652993
12,5244,185.71901271079778
13,5245,188.05148425629625
14,5246,190.3839558017947
15,5247,192.71642734729318
16,5248,195.04889889279167
17,5249,197.38137043829016
18,5250,199.71384198378865
19,5251,202.04631352928712
20,5252,204.37878507478558
21,5253,206.71125662028408
22,5254,209.04372816578257
23,5255,211.37619971128106
24,5256,213.7086712567795
25,5257,216.041142802278
26,5258,218.37361434777648
27,5259,220.70608589327497
28,5260,223.0385574387734
29,5261,225.3710289842719
30,5262,227.7035005297704
31,5263,230.03597207526886
32,5264,232.36844362076735
33,5265,234.70091516626582
34,5266,237.0333867117643
35,5267,239.3658582572628
36,5268,241.69832980276124
37,5269,244.03080134825973
38,5270,246.36327289375822
39,5271,248.6957444392567
40,5272,251.0282159847552
41,5273,253.36068753025364
42,5274,255.69315907575213
43,5275,258.02563062125057
44,5276,260.35810216674906
45,5277,262.69057371224756
46,5278,265.02304525774605
47,5279,267.35551680324454
48,5280,269.68798834874303
49,5281,272.0204598942415
50,5282,274.35293143974
51,5283,276.6854029852384
52,5284,279.0178745307369
53,5285,281.3503460762354
54,5286,283.6828176217339
55,5287,286.01528916723237
56,5288,288.34776071273086
57,5289,290.68023225822935
58,5290,293.01270380372785
59,5291,295.34517534922634
60,5292,297.6776468947248
61,5293,300.0101184402232
62,5294,302.34258998572165
63,5295,304.67506153122014
64,5296,307.00753307671863
65,5297,309.3400046222171
66,5298,311.6724761677156
67,5299,314.0049477132141
68,5300,316.3374192587126
69,5301,318.66989080421104
70,5302,321.00236234970953
71,5303,323.334833895208
72,5304,325.66730544070646
73,5305,327.99977698620495
74,5306,330.33224853170344
75,5307,332.66472007720193
76,5308,334.9971916227004
77,5309,337.3296631681989
78,5310,339.66213471369736
79,5311,341.99460625919585
80,5312,344.32707780469434
81,5313,346.65954935019283
82,5314,348.99202089569127
83,5315,351.32449244118976
84,5316,353.65696398668825
85,5317,355.98943553218675
86,5318,358.3219070776852
87,5319,360.6543786231837
88,5320,362.98685016868217
89,5321,365.31932171418066
90,5322,367.6517932596791
91,5323,369.9842648051776
92,5324,372.316736350676
93,5325,374.6492078961745
94,5326,376.981679441673
